timestamp,position_lat,position_long,distance,enhanced_speed,enhanced_altitude,heart_rate,cadence,fractional_cadence
1040070502,-3647283,-934901086,11640.19,12.093,2636.8,63,0,0
1040070507,-3642378,-934897320,11697.71,11.719,2634.8,63,0,0
1040070512,-3636696,-934894319,11757.41,11.85,2631.8,63,0,0
1040070517,-3630585,-934891763,11818.88,12.494,2627.8,63,0,0
1040070518,-3629253,-934891276,11832.04,12.96,2627,63,0,0
1040070522,-3623936,-934889337,11884.52,12.755,2623.6,63,0,0
1040070525,-3620189,-934887972,11921.52,12.755,2621.6,63,0,0
1040070530,-3613889,-934885330,11984.98,13.53,2619.8,63,0,0
1040070531,-3612599,-934884611,11998.68,13.595,2619.4,63,0,0
1040070532,-3611424,-934883822,12011.83,13.595,2619.2,63,0,0
1040070535,-3608345,-934881252,12049.12,12.634,2619,63,0,0
1040070539,-3604479,-934877629,12098.38,12.634,2621,66,0,0
1040070543,-3600363,-934874414,12146.95,12.372,2625.2,65,0,0
1040070547,-3595784,-934871175,12199.05,13.203,2630,65,0,0
1040070550,-3592022,-934868546,12241.69,14.145,2632.6,65,0,0
1040070554,-3586593,-934864834,12302.77,15.601,2636,65,0,0
1040070556,-3583664,-934862821,12335.77,16.245,2638,65,0,0
1040070559,-3579192,-934859584,12387.06,17.15,2641,65,0,0
1040070561,-3576148,-934857169,12423.18,18.111,2643.4,65,0,0
1040070564,-3571613,-934853134,12479.61,18.671,2646.6,65,0,0
1040070566,-3568454,-934850247,12519.4,19.818,2648.8,66,0,0
1040070569,-3563611,-934845646,12581.52,20.658,2651.2,68,0,0
1040070571,-3560325,-934842340,12624.86,21.041,2652,69,0,0
1040070574,-3555375,-934837898,12686.71,20.089,2652.4,71,0,0
1040070576,-3552074,-934835548,12724.41,18.82,2652,71,0,0
1040070578,-3548165,-934834096,12763.19,19.669,2651.6,71,0,0
1040070581,-3541409,-934833455,12826.18,21.059,2650.8,71,0,0
1040070584,-3534539,-934832759,12890.2,20.014,2650,71,0,0
1040070585,-3532571,-934832268,12909,19.333,2649.8,71,0,0
1040070587,-3529282,-934830710,12942.8,18.848,2649.6,71,0,0
1040070588,-3527599,-934829497,12962.07,18.951,2649.4,70,0,0
1040070590,-3524526,-934826578,13001.51,19.921,2649.4,70,0,0
1040070594,-3519857,-934820468,13073.03,17.383,2650.6,71,0,0
1040070595,-3518634,-934819074,13090.29,17.383,2650.8,71,0,0
1040070598,-3514792,-934814407,13146.54,18.521,2652,71,0,0
1040070600,-3512115,-934811073,13186.32,19.762,2653,71,0,0
1040070603,-3507962,-934805974,13247.52,20.36,2654.6,72,0,0
1040070606,-3503924,-934800896,13307.9,19.949,2656,72,0,0
1040070609,-3500362,-934796340,13361.72,17.43,2657.4,71,0,0
1040070610,-3499387,-934795023,13376.97,16.273,2657.8,71,0,0
1040070612,-3497842,-934792578,13403.92,13.623,2658.4,71,0,0
1040070613,-3497438,-934791342,13416.02,12.811,2658.8,70,0,0
1040070614,-3497109,-934790026,13428.66,12.662,2659.4,70,0,0
1040070616,-3496527,-934787590,13452.02,11.495,2660.4,69,0,0
1040070617,-3496072,-934786472,13463.25,11.495,2661,68,0,0
1040070619,-3494361,-934784672,13486.36,12.018,2662,68,0,0
1040070622,-3490635,-934782465,13526.61,14.005,2662.6,69,0,0
1040070623,-3489453,-934781313,13541.95,14.425,2662.6,69,0,0
1040070625,-3487507,-934778547,13573.47,16.049,2662.6,69,0,0
1040070628,-3484614,-934773529,13627.41,18.503,2662.4,69,0,0
1040070629,-3483517,-934771651,13647.67,19.557,2662.2,69,0,0
1040070632,-3480120,-934765780,13710.85,20.798,2661.8,69,0,0
